# 扫地机器人领域专业术语词典（jieba 自定义词典）
# 格式：词 词频 词性

# ===== 导航技术 =====
激光雷达 5 n
LDS 5 n
激光导航 5 n
dToF 5 n
VSLAM 5 n
SLAM 5 n
视觉导航 5 n
陀螺仪导航 5 n

# ===== 避障技术 =====
3D结构光 5 n
红外避障 5 n
超声波避障 5 n
AI避障 5 n
单目视觉避障 5 n
双目视觉避障 5 n

# ===== 清洁组件 =====
HEPA滤网 5 n
浮动主刷 5 n
滚刷罩 5 n
驱动轮 5 n
万向轮 5 n
边刷 5 n
主刷 5 n
胶刷 5 n
毛刷 5 n
滚刷 5 n

# ===== 拖地系统 =====
电控水箱 5 n
旋转拖布 5 n
平板拖布 5 n
增压拖地 5 n
拖布自动升降 5 n
抗菌拖布 5 n
银离子除菌 5 n
热风烘干 5 n

# ===== 自动化功能 =====
自动集尘 5 n
自动洗拖布 5 n
拖布自动烘干 5 n
自动上下水 5 n
自动添加清洁剂 5 n
断点续扫 5 n
分区清扫 5 n
自定义清扫 5 n
沿边清扫 5 n
虚拟墙 5 n
禁区设置 5 n
多楼层地图 5 n

# ===== 传感器与零部件 =====
悬崖传感器 5 n
碰撞传感器 5 n
集尘袋 5 n
污水箱 5 n
清水箱 5 n
充电座 5 n
充电触点 5 n
清洗盘 5 n
尘盒 5 n
锂电池 5 n

# ===== 设备类型 =====
扫拖一体机 5 n
扫地机器人 5 n

# ===== 故障相关 =====
错误代码 5 n
售后维修 5 n
吸力调节 5 n
电池老化 5 n
